app_name,vector,is_ransom,entr_r,entr_w,ext_r_cnt,ext_w_cnt,fids_c,fids_d,fids_r,fids_rn,fids_w,fids_ch,ext_ch_cnt,mouvedout,pids,ext_w_docs,ext_w_data,ext_w_db,ext_w_code,ext_w_exe,dir_files_c,dir_files_ch,exe_exists,test_set,sample_id
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,4,TRUE,8,8,10,5,681,309,743,2,351,72,1,311,399,0,2,0,16849,0,345,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,5,TRUE,8,8,10,5,689,311,757,2,355,72,1,313,401,0,2,0,16990,0,349,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,6,TRUE,8,8,10,5,693,311,761,2,357,72,1,313,403,0,2,0,17102,0,351,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,7,TRUE,8,8,10,5,697,315,764,2,359,72,1,317,406,0,2,0,17199,0,353,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,8,TRUE,8,8,10,5,705,317,770,2,363,72,1,319,406,0,2,0,17336,0,357,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,9,TRUE,8,8,10,5,708,318,774,2,365,72,1,320,406,0,2,0,17414,0,359,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,10,TRUE,8,8,10,5,720,321,788,2,368,73,1,323,411,0,2,0,17728,0,362,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,1,TRUE,8,8,10,5,753,342,824,2,385,77,1,344,426,0,2,0,18281,0,379,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,2,TRUE,8,8,10,5,764,351,831,2,388,82,1,353,436,0,2,0,18579,0,382,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,3,TRUE,8,8,10,5,772,355,845,2,392,84,1,357,443,0,2,0,18836,0,386,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,4,TRUE,8,8,10,5,775,356,849,2,393,84,1,358,446,0,2,0,19028,0,387,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,5,TRUE,8,8,10,5,783,359,855,2,395,84,1,361,446,0,2,0,19226,0,389,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,6,TRUE,8,8,10,5,790,361,863,2,400,85,1,363,446,0,2,0,19292,0,394,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,7,TRUE,8,8,10,5,794,364,869,2,402,87,1,366,452,0,2,0,19561,0,396,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,8,TRUE,8,8,10,5,801,370,876,2,405,87,1,372,452,0,2,0,19760,0,399,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,9,TRUE,8,8,10,5,810,374,888,2,410,87,1,376,454,0,2,0,19953,0,404,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,10,TRUE,8,8,10,5,813,376,892,2,413,88,1,378,458,0,2,0,20162,0,407,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,1,TRUE,8,8,10,5,821,381,903,2,417,91,1,383,464,0,2,0,20402,0,411,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,2,TRUE,8,8,10,5,830,383,913,2,423,93,1,385,470,0,2,0,20751,0,417,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,3,TRUE,8,8,10,5,833,386,916,2,424,94,1,388,472,0,2,0,20812,0,418,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,4,TRUE,8,8,10,5,842,390,923,2,429,96,1,392,475,0,2,0,20987,0,423,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,5,TRUE,8,8,10,5,884,420,975,2,452,112,1,422,498,0,2,0,22223,0,447,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,6,TRUE,8,8,10,5,886,421,983,2,453,113,1,423,500,0,2,0,22464,0,448,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,7,TRUE,8,8,10,5,894,425,990,2,457,116,1,427,502,0,2,0,22633,0,452,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,8,TRUE,8,8,10,5,901,430,997,2,460,117,1,432,503,0,2,0,22799,0,455,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,9,TRUE,8,8,10,5,902,430,999,2,460,117,1,432,504,0,2,0,22924,0,455,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,10,TRUE,8,8,10,5,905,432,1002,2,461,117,1,434,505,0,2,0,23019,0,456,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,1,TRUE,8,8,10,5,922,438,1019,2,471,117,1,440,509,0,2,0,23368,0,466,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,2,TRUE,8,8,10,5,934,443,1031,2,477,117,1,445,511,0,2,0,23634,0,472,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,3,TRUE,8,8,10,5,934,443,1031,2,477,117,1,445,513,0,2,0,23791,0,472,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,4,TRUE,8,8,10,5,943,448,1039,2,480,118,1,450,518,0,2,0,24134,0,475,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,5,TRUE,8,8,10,5,952,451,1051,2,483,119,1,453,524,0,2,0,24447,0,478,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,6,TRUE,8,8,10,5,961,454,1065,2,488,120,1,456,529,0,2,0,24782,0,483,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,7,TRUE,8,8,10,5,994,476,1109,2,505,131,1,478,546,0,2,0,26126,0,500,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,8,TRUE,8,8,10,5,1007,483,1121,2,512,134,1,485,550,0,2,0,26562,0,507,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,9,TRUE,8,8,10,5,1030,489,1145,2,525,134,1,491,555,0,2,0,27139,0,520,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,10,TRUE,8,8,10,5,1031,489,1147,2,526,134,1,491,555,0,2,0,27264,0,521,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,1,TRUE,8,8,10,5,1031,489,1147,2,526,134,1,491,557,0,2,0,27435,0,521,4,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,2,TRUE,8,8,10,5,1040,494,1155,2,530,134,1,496,557,0,2,0,27563,0,525,4,1,FALSE,2
